run_start_timestamp,analysis_version,param_load_duration_s,data_load_duration_s,overall_script_duration_s,results_save_duration_s
2026-03-07 07:01:02,2.0.0,0.0,0.17084002494812012,0.3603219985961914,0.0342259407043457
2026-03-07 08:05:26,2.0.0,0.0,0.18836188316345215,0.396557092666626,0.03770589828491211
20260328-185359,2026-03-29 03:46:05,2.0.0,0.0,0.16991806030273438,0.411607027053833,0.021575212478637695
20260329-101714,2026-03-29 11:24:25,2.0.0,0.0,0.1898961067199707,0.46682095527648926,0.025708913803100586
20260330-200710,2026-03-30 20:37:01,2.0.0,0.0,0.44386792182922363,0.8319492340087891,0.050083160400390625
20260331-210616,2026-03-31 21:30:55,2.0.0,0.0,0.44577598571777344,0.808459997177124,0.047141075134277344
20260402-134924,2026-04-02 14:09:43,2.0.0,0.0,0.17186617851257324,0.44112706184387207,0.02309894561767578
20260403-090929,2026-04-03 09:29:40,2.0.0,0.0,0.17239618301391602,0.42513394355773926,0.02317070960998535
20260404-072616,2026-04-04 07:46:30,2.0.0,0.0,0.17431879043579102,0.40499210357666016,0.022216081619262695
20260406-211427,2026-04-06 21:41:19,2.0.0,0.0,0.4533088207244873,0.8448879718780518,0.049926042556762695
20260406-222822,2026-04-06 22:46:45,2.0.0,0.0,0.28311610221862793,0.5320110321044922,0.035485029220581055
20260407-211712,2026-04-07 21:33:48,2.0.0,0.0,0.2860221862792969,0.5166668891906738,0.032318115234375
20260408-220322,2026-04-08 22:27:00,2.0.0,0.0,0.4506230354309082,0.8401007652282715,0.05042099952697754
20260409-200414,2026-04-09 20:22:30,2.0.0,0.0,0.28416991233825684,0.5701940059661865,0.03623199462890625
20260410-223139,2026-04-10 23:04:59,2.0.0,0.0,0.31212806701660156,0.789905309677124,0.040812015533447266
20260413-204255,2026-04-13 21:07:50,2.0.0,0.0,0.46488189697265625,0.9463961124420166,0.07981991767883301
20260413-222502,2026-04-13 22:49:06,2.0.0,0.0,0.49184083938598633,0.9690637588500977,0.05588388442993164
20260415-224919,2026-04-15 23:11:40,2.0.0,0.0,0.44827795028686523,0.8888261318206787,0.054058074951171875
20260417-140838,2026-04-17 14:24:28,2.0.0,0.0,0.2860836982727051,0.5573859214782715,0.035836219787597656
20260420-060251,2026-04-20 06:33:21,2.0.0,0.0,0.44750118255615234,0.8723819255828857,0.05365300178527832
